dataset_id,reference,taxon,fly,extent,extent note,heterogeneity,heterogeneity note
Lion_2014,"Lion, M.B., Garda, A.A. & Fonseca, C.R., 2014. Split distance: A key landscape metric shaping amphibian populations and communities in forest fragments. Diversity and Distributions, 20(11), pp.1245–1257.",herptiles,no,25 km,mapped,high,"""the north-eastern Brazilian Atlantic Forest (Fig. 2) which had fragments with a range of sizes and matrix types (e.g. sugar cane, cattle fields, agriculture) commonly found in many parts of the biome (Ribeiro et al., 2009). The study landscape had 18.6% of its original cover left, including Atlantic Forest fragments, sand dune vegetation (Restinga) and mangroves"""
Gavish_2012_a,"Gavish, Y., Ziv, Y. & Rosenzweig, M.L., 2012. Decoupling Fragmentation from Habitat Loss for Spiders in Patchy Agricultural Landscapes. Conservation Biology, 26(1), pp.150–159.",spiders,no,25 km,"not mapped, reported (""We focused on 2, 3.2 � 4 km landscapes"")",low ,"""natural vegetation are embedded in a matrix of agricultural fields, mainly wheat"""
Gavish_2012_c,"Gavish, Y., Ziv, Y. & Rosenzweig, M.L., 2012. Decoupling Fragmentation from Habitat Loss for Spiders in Patchy Agricultural Landscapes. Conservation Biology, 26(1), pp.150–159.",spiders,no,25 km,"not mapped, reported (""We focused on 2, 3.2 � 4 km landscapes"")",low ,"""natural vegetation are embedded in a matrix of agricultural fields, mainly wheat"""
Gavish_2012_b,"Gavish, Y., Ziv, Y. & Rosenzweig, M.L., 2012. Decoupling Fragmentation from Habitat Loss for Spiders in Patchy Agricultural Landscapes. Conservation Biology, 26(1), pp.150–159.",spiders,no,25 km,"not mapped, reported (""We focused on 2, 3.2 � 4 km landscapes"")",low ,"""natural vegetation are embedded in a matrix of agricultural fields, mainly wheat"""
Gibson_2013,"Gibson, L., Lynam, A.J., Bradshaw, C.J. A, He, F., Bickford, D.P., Woodruff, D.S., Bumrungsri, S., Laurance, W.F., 2013. Near-complete extinction of native small mammal fauna 25 years after forest fragmentation. Science 341, 1508–10. doi:10.1126/science.1240495",small mammals,no,50 km,mapped,low ,"""flooded reservoir"""
Giladi_2011_a,"Giladi, I. et al., 2011. Scale-dependent determinants of plant species richness in a semi-arid fragmented agro-ecosystem. Journal of Vegetation Science, 22(6), pp.983–996.",plants,variable,50 km,mapped,low ,"""Intensified agricultural practice over the past 60 years has reshaped the landscape to its current form, which comprises a mosaic of natural vegetation patches within a predominately agricultural matrix"""
Giladi_2011_c,"Giladi, I. et al., 2011. Scale-dependent determinants of plant species richness in a semi-arid fragmented agro-ecosystem. Journal of Vegetation Science, 22(6), pp.983–996.",plants,variable,50 km,mapped,low ,"""Intensified agricultural practice over the past 60 years has reshaped the landscape to its current form, which comprises a mosaic of natural vegetation patches within a predominately agricultural matrix"""
Giladi_2011_b,"Giladi, I. et al., 2011. Scale-dependent determinants of plant species richness in a semi-arid fragmented agro-ecosystem. Journal of Vegetation Science, 22(6), pp.983–996.",plants,variable,50 km,mapped,low ,"""Intensified agricultural practice over the past 60 years has reshaped the landscape to its current form, which comprises a mosaic of natural vegetation patches within a predominately agricultural matrix"""
Guadagnin_2005,"Guadagnin D.L., Peter Â.S., Perello L.F.C., & Maltchik L. (2005) Spatial and Temporal Patterns of Waterbird Assemblages in Fragmented Wetlands of Southern Brazil. Waterbirds, 28, 261–272.",birds,yes,50 km,mapped,low ,"""One main land use pattern dominates: a matrix of irrigated rice-fields and drained meadows in a roughly fouryear rotation. Scattered in the landscape are remnants of wetlands and native forests, natural lagoons, manmade ponds and exotic Eucalyptus and pine plantations."""
Henry_2007,"Henry, M., Pons, J.-M., Cosson, J.-F., 2007b. Foraging behaviour of a frugivorous bat helps bridge landscape connectivity and ecological processes in a fragmented rainforest. J. Anim. Ecol. 76, 801–13. doi:10.1111/j.1365-2656.2007.01258.x AND Henry, M., Cosson, J.-F., Pons, J.-M., 2007a. Abundance may be a misleading indicator of fragmentation-sensitivity: The case of fig-eating bats. Biol. Conserv. 139, 462–467. doi:10.1016/j.biocon.2007.06.024",bats,yes,25 km,mapped,low ,"""flooding"""
Horvath_2009,"Horváth, R. et al., 2009. Spiders are not less diverse in small and isolated grasslands, but less diverse in overgrazed grasslands: A field study (East Hungary, Nyirseg). Agriculture, Ecosystems and Environment, 130(1–2), pp.16–22.",spiders,no,100 km,"not mapped; ""the distance between the furthest pathces was 75 km""",medium,"""Today, the fragmented sandy grasslands are surrounded by arable land and non-native tree plantations"""
Jung_2014,"Jung, J.K. et al., 2014. A comparison of diversity and species composition of ground beetles (Coleoptera: Carabidae) between conifer plantations and regenerating forests in Korea. Ecological Research, 29(5), pp.877–887.",beetles,variable,200 km,mapped,high,Unspecified; assumed given the large extent and variation in land cover across Korea
Kappes_2009,"Kappes, H. et al., 2009. Response of snails and slugs to fragmentation of lowland forests in NW Germany. Landscape Ecology, 24(5), pp.685–697.",slugs,no,100 km,mapped,medium,"""The surrounding matrix usually is agricultural, but settlements are within a distance of less than 1 km from the sites� nearest forest border"""
Knapp_2015_a,"Knapp, M. & Rezac, M., 2015. Even the smallest non-crop habitat islands could be beneficial: Distribution of carabid beetles and spiders in agricultural landscape. PLoS ONE, 10(4), pp.1–20.",beetles,variable,25 km,mapped,low ,"""The non-crop habitat islands are vegetated mainly by trees (oaks, locusts and pines are dominating) and shrubs (e.g., wild rose, blackthorn), but the smaller islands are also partially covered by herbs (e.g., various grasses)."""
Knapp_2015_b,"Knapp, M. & Rezac, M., 2015. Even the smallest non-crop habitat islands could be beneficial: Distribution of carabid beetles and spiders in agricultural landscape. PLoS ONE, 10(4), pp.1–20.",spiders,no,25 km,mapped,low ,"""The non-crop habitat islands are vegetated mainly by trees (oaks, locusts and pines are dominating) and shrubs (e.g., wild rose, blackthorn), but the smaller islands are also partially covered by herbs (e.g., various grasses)."""
Lima_2015,"Lima, J., Galatti, U., Lima, C., Faveri, S., Vasconcelos, H., Neckel-Oliveira, S., 2015. Amphibians on Amazonian Land-Bridge Islands are Affected More by Area Than Isolation. Biotropica 47, 369–376",herptiles,no,50 km,mapped,low ,"""flooded reservoir"""
Manu_2007,"Manu S., Peach W., & Cresswell W. (2007) The effects of edge, fragment size and degree of isolation on avian species richness in highly fragmented forest in West Africa. Ibis, 149, 287–297.",birds,yes,400 km,"not mapped; ""These sites were located between Abeokuta (40 km west of Ibadan) and Benin (250 km east of Ibadan) and represented nearly all fragments of forest greater than a few hectares in size that could be identified in the area""",medium,"""The edge habitats surrounding the forest patches were mainly derived savanna dominated by grassland with trees of various sizes, plantations and thickets, as well as farmland."""
Martensen_2012,"Martensen A.C., Ribeiro M.C., Banks-Leite C., Prado P.I., & Metzger J.P. (2012) Associations of Forest Cover, Fragment Area, and Connectivity with Neotropical Understory Bird Species Richness and Abundance. Conservation Biology, 26, 1100–1111.",birds,yes,200 km,"not mapped; ""From the nearest edges, the landscapes were separated by <122 km""",high,"""land use included agricultural fields, non-native tree plantations, water bodies, urban areas, and rural buildings. """
